200,-344,15396,-756,-71,-155,1655836
104,-312,15452,-759,-55,-164,1655837
228,-140,15464,-778,-77,-202,1655839
280,-420,15552,-765,-90,-177,1655840
268,-356,15508,-769,-81,-176,1655842
208,-480,15512,-767,-81,-174,1655843
176,-336,15476,-777,-98,-172,1655845
188,-352,15388,-763,-95,-180,1655846
184,-364,15492,-789,-107,-187,1655848
236,-328,15388,-776,-76,-169,1655849
232,-248,15596,-797,-59,-171,1655851
260,-344,15556,-803,-88,-211,1655852
204,-356,15360,-750,-92,-193,1655853
248,-320,15484,-761,-59,-168,1655855
244,-396,15416,-765,-83,-173,1655856
200,-356,15484,-783,-85,-181,1655858
200,-292,15524,-750,-57,-176,1655859
100,-360,15544,-757,-63,-179,1655861
208,-396,15488,-748,-82,-175,1655862
248,-340,15488,-741,-98,-179,1655863
232,-328,15544,-750,-108,-170,1655865
256,-320,15404,-752,-74,-183,1655866
304,-272,15416,-754,-64,-173,1655868
272,-328,15348,-762,-68,-187,1655869
248,-296,15420,-770,-83,-164,1655871
160,-368,15588,-763,-76,-184,1655872
196,-344,15616,-777,-72,-189,1655873
220,-320,15556,-761,-81,-177,1655875
184,-380,15520,-746,-76,-171,1655876
260,-380,15464,-748,-52,-179,1655878
64,-328,15452,-794,-84,-165,1655879
52,-340,15552,-788,-91,-179,1655881
160,-388,15400,-762,-58,-188,1655882
100,-348,15428,-749,-55,-206,1655883
160,-448,15408,-757,-73,-190,1655885
228,-344,15444,-773,-89,-179,1655886
216,-340,15588,-764,-89,-172,1655888
220,-360,15516,-763,-60,-186,1655889
196,-276,15528,-745,-83,-175,1655891
192,-396,15508,-772,-81,-162,1655892
208,-276,15768,-778,-77,-182,1655893
248,-408,15736,-759,-90,-197,1655895
188,-408,15492,-766,-120,-186,1655896
324,-340,15436,-778,-99,-176,1655898
296,-388,15504,-773,-77,-171,1655899
260,-384,15404,-767,-62,-179,1655901
268,-340,15400,-774,-79,-183,1655902
252,-448,15476,-759,-102,-196,1655903
244,-440,15476,-747,-83,-189,1655905
268,-348,15440,-748,-87,-194,1655906
272,-348,15372,-771,-70,-172,1655908
328,-400,15520,-761,-71,-154,1655909
268,-368,15512,-756,-92,-161,1655910
260,-384,15584,-761,-66,-165,1655912
248,-372,15496,-769,-54,-161,1655913
260,-364,15432,-779,-75,-161,1655915
108,-420,15468,-788,-114,-172,1655916
192,-312,15600,-775,-98,-167,1655918
240,-248,15460,-759,-94,-178,1655919
204,-400,15460,-743,-111,-189,1655920
200,-404,15388,-750,-115,-177,1655922
240,-400,15504,-770,-75,-176,1655923
316,-292,15416,-757,-58,-179,1655925
248,-384,15516,-762,-71,-164,1655926
